species,taxonomic_order,litter_mass,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation,relative_litter_mass,relative_litter_mass_female
cervus_elaphus,Artiodactyla,8586.0528,11497.5,160166.7,203625,Epitheliochorial,Villous,0.053606978229557074,0.04216600515653775
rucervus_eldii,Artiodactyla,4721.729799999999,7482.5,95471.61,NA,Epitheliochorial,Villous,0.04945689928136751,NA
elaphurus_davidianus,Artiodactyla,11618.925000000001,10037.5,165989.2,130500,Epitheliochorial,Villous,0.06999807818821947,0.08903390804597702
dama_dama,Artiodactyla,5027.3308,9125,63612.31,40766.66667,Epitheliochorial,Villous,0.07903078507917728,0.12331964348950779
axis_axis,Artiodactyla,3251.5658000000003,7592,45500,50000,Epitheliochorial,Villous,0.07146298461538463,0.065031316
muntiacus_muntjak,Artiodactyla,1604.5263,6862,17611.59,15000,Epitheliochorial,Villous,0.09110627149507795,0.10696842
muntiacus_reevesi,Artiodactyla,1050,8468,13499.94,8900,Epitheliochorial,Villous,0.07777812345832648,0.11797752808988764
odocoileus_virginianus,Artiodactyla,5044.4829,8395,65320,52060,Epitheliochorial,Villous,0.07722723361910594,0.09689748175182482
odocoileus_hemionus,Artiodactyla,4872.1338,8030,57000,NA,Epitheliochorial,Villous,0.08547603157894736,NA
blastocerus_dichotomus,Artiodactyla,4199.99,5000.5,102500,NA,Epitheliochorial,Villous,0.04097551219512195,NA
pudu_puda,Artiodactyla,803.4,7665,9642.62,NA,Epitheliochorial,Villous,0.08331760455146008,NA
rangifer_tarandus,Artiodactyla,6039.682000000001,7920.5,101250,86260,Epitheliochorial,Villous,0.059651180246913585,0.0700171806167401
capreolus_capreolus,Artiodactyla,2163.3044999999997,6387.5,21666.69,20200,Epitheliochorial,Villous,0.09984471555184478,0.10709428217821781
hydropotes_inermis,Artiodactyla,3048.57,5079.58,12760.04,12220,Epitheliochorial,Villous,0.23891539524954467,0.24947381342062194
alces_alces,Artiodactyla,16639.9872,9855,359750,NA,Epitheliochorial,Villous,0.04625430771369006,NA
giraffa_camelopardalis,Artiodactyla,61874.28800000001,14417.5,800000,NA,Epitheliochorial,Villous,0.07734286000000001,NA
okapia_johnstoni,Artiodactyla,18325.61,12227.5,230001.1,NA,Epitheliochorial,Villous,0.07967618415738012,NA
antilocapra_americana,Artiodactyla,6529.382999999999,5657.5,45375,NA,Epitheliochorial,Villous,0.14389824793388428,NA
tragulus_napu,Artiodactyla,372.99,6095.5,3850,NA,Epitheliochorial,Villous,0.09688051948051948,NA
cephalorhynchus_commersonii,Artiodactyla,5834.74,9417,68700,NA,Epitheliochorial,Villous,0.08493071324599709,NA
orcinus_orca,Cetacea,158745.07,36500,4300000,5443200,Epitheliochorial,Villous,0.036917458139534884,0.029163923794826574
delphinus_delphis,Cetacea,6998.9535,10594.12,77818.35,NA,Epitheliochorial,Villous,0.08993962863514839,NA
stenella_coeruleoalba,Cetacea,16950,20987.5,122950,60500,Epitheliochorial,Villous,0.13786091907279382,0.2801652892561983
tursiops_truncatus,Cetacea,24369.6,19345,230000,145833,Epitheliochorial,Villous,0.10595478260869565,0.1671062105284812
phocoena_phocoena,Cetacea,8892.16,7446,52730.93,62000,Epitheliochorial,Villous,0.16863271707895158,0.14342193548387097
delphinapterus_leucas,Cetacea,58140,14600,1380000,NA,Epitheliochorial,Villous,0.042130434782608694,NA
inia_geoffrensis,Artiodactyla,6799.99,11424.5,98500,NA,Epitheliochorial,Villous,0.06903543147208122,NA
megaptera_novaeangliae,Artiodactyla,1299999.99,34675,30000000,NA,Epitheliochorial,Villous,0.043333333,NA
hippopotamus_amphibius,Therapsida,40199.99,22338,2640000,1349750,Epitheliochorial,Villous,0.015227268939393938,0.02978328579366549
sus_scrofa,Artiodactyla,4499.2789,9855,135000,50600,Epitheliochorial,Villous,0.033327991851851854,0.08891855533596839
phacochoerus_aethiopicus,Artiodactyla,2331.8715,6862,73303.76,NA,Epitheliochorial,Villous,0.031811076266756305,NA
potamochoerus_porcus,Artiodactyla,2250,8227.71,71000,NA,Epitheliochorial,Villous,0.03169014084507042,NA
babyrousa_babyrussa,Artiodactyla,1000.9999999999999,8760,92950.09,NA,Epitheliochorial,Villous,0.010769220341798485,NA
pecari_tajacu,Artiodactyla,1125.7246,11497.5,20500,17956.25,Epitheliochorial,Villous,0.05491339512195122,0.0626926334841629
catagonus_wagneri,Artiodactyla,1470.4900000000002,5344.21,35433.2,NA,Epitheliochorial,Villous,0.0415003443098563,NA
vicugna_vicugna,Artiodactyla,6082.92,22435.33,50000,37500,Epitheliochorial,Villous,0.1216584,0.1622112
camelus_dromedarius,Artiodactyla,36751.19,14600,434000,NA,Epitheliochorial,Villous,0.08468016129032259,NA
rousettus_aegyptiacus,Chiroptera,19.8952,8358.5,134,NA,Hemochorial,Labyrinthine,0.14847164179104477,NA
rousettus_leschenaultii,Chiroptera,12.120000000000001,5110,96.57,NA,Hemochorial,Labyrinthine,0.1255048151599876,NA
cynopterus_sphinx,Chiroptera,12.100000000000001,3686.5,37.4,47.84,Hemochorial,Labyrinthine,0.32352941176470595,0.2529264214046823
pteropus_poliocephalus,Chiroptera,70,8614,675,675,Hemochorial,Labyrinthine,0.1037037037037037,0.1037037037037037
pteropus_giganteus,Chiroptera,90.32,14907.21,824.85,900,Hemochorial,Labyrinthine,0.10949869673273928,0.10035555555555555
pteropus_rodricensis,Chiroptera,45,10950,303.09,NA,Hemochorial,Labyrinthine,0.1484707512620014,NA
rhinolophus_rouxii,Chiroptera,2.8314,1825,12.25,NA,Endotheliochorial,Labyrinthine,0.231134693877551,NA
rhinopoma_hardwickii,Chiroptera,2.5,4935.28,12,NA,Endotheliochorial,Labyrinthine,0.20833333333333334,NA
myotis_lucifugus,Chiroptera,2.18,12410,7.15,6.49,Hemochorial,Labyrinthine,0.3048951048951049,0.3359013867488444
tadarida_brasiliensis,Chiroptera,3.3814,5475,12.5,NA,Endotheliochorial,Labyrinthine,0.27051200000000003,NA
chaerephon_plicatus,Chiroptera,4.455,2467,21.83,17.2,Hemochorial,Labyrinthine,0.20407695831424646,0.25901162790697674
artibeus_lituratus,Chiroptera,8.9,7014.08,46.1,77.64533956,Endotheliochorial,Labyrinthine,0.19305856832971802,0.11462375012376082
artibeus_jamaicensis,Chiroptera,10.57,7014.08,46.1,NA,Endotheliochorial,Labyrinthine,0.22928416485900216,NA
