species;order;common_name;invasivness;interdigitation;link_url;;;;;;;;;;;
Potamochoerus_porcus;Artiodactyla;red_river hog;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Pseudois_nayaur;Artiodactyla;blue_sheep;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Pudu_puda;Artiodactyla;pudus;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Rangifer_tarandus;Artiodactyla;reindeer;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Raphicerus_campestris;Artiodactyla;steenbok;Epitheliochorial;Villous;http://placentation.ucsd.edu/steen.htm;;;;;;;;;;;
Rucervus_eldii;Artiodactyla;Eld's_deer;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Saiga_tatarica;Artiodactyla;saiga_antelope;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Sus_cebifrons;Artiodactyla;Visayan_warty pig;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Sus_scrofa;Artiodactyla;wild_boar;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Syncerus_caffer;Artiodactyla;African_buffalo;Epitheliochorial;Villous;http://placentation.ucsd.edu/congo.html;;;;;;;;;;;
Taurotragus_derbianus;Artiodactyla;giant_eland;Epitheliochorial;Villous;http://placentation.ucsd.edu/eland.htm;;;;;;;;;;;
Taurotragus_oryx;Artiodactyla;common_eland;Epitheliochorial;Villous;http://placentation.ucsd.edu/eland.htm;;;;;;;;;;;
Tayassu_tajacu;Artiodactyla;collared_peccary;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Tragelaphus_angasii;Artiodactyla;lowland_nyala;Epitheliochorial;Villous;http://placentation.ucsd.edu/nyala.htm;;;;;;;;;;;
Tragelaphus_eurycerus;Artiodactyla;antelope;Epitheliochorial;Villous;http://placentation.ucsd.edu/bongofs.htm;;;;;;;;;;;
Tragelaphus_imberbis;Artiodactyla;lesser_kudu;Epitheliochorial;Villous;https://www.ncbi.nlm.nih.gov/pubmed/16712927;;;;;;;;;;;
