species,taxonomic_order,gestation_length,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation
cervus_nippon,Artiodactyla,223.66,9599.5,52999.99,28640,Epitheliochorial,Villous
cervus_elaphus,Artiodactyla,244.4,11497.5,160166.7,203625,Epitheliochorial,Villous
rucervus_eldii,Artiodactyla,240.19,7482.5,95471.61,NA,Epitheliochorial,Villous
elaphurus_davidianus,Artiodactyla,286.45,10037.5,165989.2,130500,Epitheliochorial,Villous
dama_dama,Artiodactyla,233,9125,63612.31,40766.66667,Epitheliochorial,Villous
rucervus_duvaucelii,Artiodactyla,249.94,8942.5,171223.9,NA,Epitheliochorial,Villous
axis_axis,Artiodactyla,226.75,7592,45500,50000,Epitheliochorial,Villous
muntiacus_muntjak,Artiodactyla,210,6862,17611.59,15000,Epitheliochorial,Villous
muntiacus_reevesi,Artiodactyla,208.79,8468,13499.94,8900,Epitheliochorial,Villous
elaphodus_cephalophus,Artiodactyla,181.24,8285.5,33500,NA,Epitheliochorial,Villous
odocoileus_virginianus,Artiodactyla,201.39,8395,65320,52060,Epitheliochorial,Villous
odocoileus_hemionus,Artiodactyla,207,8030,57000,NA,Epitheliochorial,Villous
mazama_americana,Artiodactyla,225,6241.5,23000,NA,Epitheliochorial,Villous
blastocerus_dichotomus,Artiodactyla,270.58,5000.5,102500,NA,Epitheliochorial,Villous
pudu_puda,Artiodactyla,205.75,7665,9642.62,NA,Epitheliochorial,Villous
rangifer_tarandus,Artiodactyla,222.5,7920.5,101250,86260,Epitheliochorial,Villous
capreolus_capreolus,Artiodactyla,153,6387.5,21666.69,20200,Epitheliochorial,Villous
hydropotes_inermis,Artiodactyla,190,5079.58,12760.04,12220,Epitheliochorial,Villous
alces_alces,Artiodactyla,241.98,9855,359750,NA,Epitheliochorial,Villous
giraffa_camelopardalis,Artiodactyla,456.13,14417.5,800000,NA,Epitheliochorial,Villous
okapia_johnstoni,Artiodactyla,452.58,12227.5,230001.1,NA,Epitheliochorial,Villous
antilocapra_americana,Artiodactyla,247.45,5657.5,45375,NA,Epitheliochorial,Villous
tragulus_javanicus,Artiodactyla,144,5110,1753.97,NA,Epitheliochorial,Villous
