species,taxonomic_order,gestation_length,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation
artibeus_jamaicensis,Chiroptera,106.54,7014.08,46.1,NA,Endotheliochorial,Labyrinthine
carollia_perspicillata,Chiroptera,95,6205,16.4,16.48770687,Endotheliochorial,Labyrinthine
glossophaga_soricina,Chiroptera,107.26,4015,10.25,10.56574924,Endotheliochorial,Labyrinthine
leptonycteris_yerbabuenae,Chiroptera,121.83,3686.5,24.26,NA,Endotheliochorial,Labyrinthine
leptonycteris_nivalis,Chiroptera,121.66,3650,22.63,NA,Endotheliochorial,Labyrinthine
phyllostomus_discolor,Chiroptera,105,3285,40.05,37.04081633,Endotheliochorial,Labyrinthine
chrotopterus_auritus,Chiroptera,153.05,5894.62,84.38,94.38153846,Endotheliochorial,Labyrinthine
desmodus_rotundus,Chiroptera,189,10658,33.18,43.37795276,Endotheliochorial,Labyrinthine
pteronotus_davyi,Chiroptera,60,2682.75,9.4,NA,Hemochorial,Labyrinthine
pteronotus_parnellii,Chiroptera,107.97,5135.41,19.4,NA,Hemochorial,Labyrinthine
mormoops_megalophylla,Chiroptera,103.24,2728.03,16.05,NA,Hemochorial,Labyrinthine
furipterus_horrens,Chiroptera,133.61,5768.69,3.15,4,Hemochorial,Labyrinthine
thyroptera_tricolor,Chiroptera,154.24,5421.74,4.52,NA,Hemochorial,Labyrinthine
myzopoda_aurita,Chiroptera,104.53,5044.91,9.1,NA,Endotheliochorial,Labyrinthine
saccopteryx_bilineata,Chiroptera,111.48,2190,7.9,8,Endotheliochorial,Labyrinthine
taphozous_melanopogon,Chiroptera,121.76,7300,25.99,NA,Endotheliochorial,Labyrinthine
suncus_murinus,Eulipotyphla,30,1183.21,45.87,59.73,Hemochorial,Labyrinthine
sorex_fumeus,Eulipotyphla,18.87,517.08,8.02,NA,Hemochorial,Labyrinthine
sorex_araneus,Eulipotyphla,21,1168,8.2,7.45,Hemochorial,Labyrinthine
sorex_minutus,Eulipotyphla,23.62,730,4.2,3.01,Hemochorial,Labyrinthine
blarina_brevicauda,Eulipotyphla,20.09,1003.75,20.7,20.23,Hemochorial,Labyrinthine
erinaceus_europaeus,Erinaceomorpha,36.07,5110,777.95,667,Hemochorial,Labyrinthine
atelerix_albiventris,Erinaceomorpha,35.5,4161,600,178.94,Hemochorial,Labyrinthine
talpa_europaea,Eulipotyphla,31.34,2555,110.42,75.64,Endotheliochorial,Labyrinthine
