taxonomic_order;species;common_name;gestation_length;neonate_body_size;litter_size;interbirth_interval;longevity;invasiveness;interdigitation;body_mass_g;litter_mass;female_body_mass_g
Rodentia;fukomys_damarensis;Damaraland_mole-rat;92.83;;2.5;239.15;5657.5;Hemochorial;Villous;134.65;;
Rodentia;funambulus_pennantii;northern_palm_squirrel;40.48;6.54;3.14;151.98;1852.38;Hemochorial;Labyrinthine;125.07;20.5356;
Chiroptera;furipterus_horrens;thumbless_bat;133.61;-999;1;318.61;5768.69;Hemochorial;Labyrinthine;3.15;-999;4
Primates;galago_moholi;Mohol_bushbaby;126;11.73;1.55;200.61;6874.17;Epitheliochorial;Villous;180;18.1815;155
Primates;galago_senegalensis;Senegal_bushbaby;126.49;11.5;1.5;221.85;6874.17;Epitheliochorial;Villous;192.2;17.25;199.25
Rodentia;galea_musteloides;common_yellow-toothed_cavy;54;37.39;2.63;53.01;1277.5;Hemochorial;Labyrinthine;337.88;98.3357;
Artiodactyla;gazella_cuvieri;Cuvier's_gazelle;170.87;;1.23;273.81;6533.5;Epitheliochorial;Villous;20348.83;;
Artiodactyla;gazella_dorcas;dorcas_gazelle;156;1573.21;1.22;351.26;8650.5;Epitheliochorial;Villous;47386.47;1919.3162;14100
Artiodactyla;gazella_leptoceros;rhim_gazelle;167.29;4615.3;1;220.78;5329;Epitheliochorial;Villous;24645.75;4615.3;
Artiodactyla;gazella_marica;Arabian_sand_gazelle;169.22;;1.39;349.57;7300;Epitheliochorial;Villous;20200;;
Artiodactyla;gazella_spekei;Speke's_gazelle;187.91;1250;1;206.36;5405.04;Epitheliochorial;Villous;20000;1250;
Artiodactyla;gazella_subgutturosa;goitered;169.22;2317.85;1.39;353.49;7300;Epitheliochorial;Villous;37740.68;3221.8115;
Carnivora;genetta_tigrina;Cape_genet;70.61;85.5;2.5;303.95;7774.5;Endotheliochorial;Labyrinthine;1760;213.75;
Rodentia;geomys_bursarius;plains_pocket_gopher;26.78;5.11;3.39;206.13;4380;Hemochorial;Labyrinthine;186.85;17.3229;
