"species","taxonomic_order","litter_mass","longevity","body_mass_g","female_body_mass_g","invasiveness","interdigitation","relative_litter_mass","relative_litter_mass_female","litter_size","neonate_body_size"
"eumetopias_jubatus","Carnivora",18250,11972,382466.7,,"Endotheliochorial","Labyrinthine",0.0477165724493139,,1,18250
"euphractus_sexcinctus","Cingulata",183.715,8066.5,4850,,"Hemochorial","Trabecular",0.037879381443299,,1.75,104.98
"felis_chaus","Carnivora",406.5,7300,10000,,"Endotheliochorial","Labyrinthine",0.04065,,3,135.5
"felis_margarita","Carnivora",287.955,5073.5,2750,,"Endotheliochorial","Labyrinthine",0.104710909090909,,4.5,63.99
"felis_nigripes","Carnivora",137.52,5694,2125,,"Endotheliochorial","Labyrinthine",0.0647152941176471,,1.91,72
"felis_silvestris","Carnivora",392.616,10220,5036.54,3150,"Endotheliochorial","Labyrinthine",0.0779535157072117,0.12464,3.69,106.4
"funambulus_pennantii","Rodentia",20.5356,1852.38,125.07,,"Hemochorial","Labyrinthine",0.164192852002878,,3.14,6.54
"galago_moholi","Primates",18.1815,6874.17,180,155,"Epitheliochorial","Villous",0.101008333333333,0.1173,1.55,11.73
"galago_senegalensis","Primates",17.25,6874.17,192.2,199.25,"Epitheliochorial","Villous",0.0897502601456816,0.0865746549560853,1.5,11.5
"galea_musteloides","Rodentia",98.3357,1277.5,337.88,,"Hemochorial","Labyrinthine",0.291037350538653,,2.63,37.39
"gazella_dorcas","Artiodactyla",1919.3162,8650.5,47386.47,14100,"Epitheliochorial","Villous",0.0405034643855092,0.136121716312057,1.22,1573.21
"gazella_leptoceros","Artiodactyla",4615.3,5329,24645.75,,"Epitheliochorial","Villous",0.187265552884372,,1,4615.3
"gazella_spekei","Artiodactyla",1250,5405.04,20000,,"Epitheliochorial","Villous",0.0625,,1,1250
"gazella_subgutturosa","Artiodactyla",3221.8115,7300,37740.68,,"Epitheliochorial","Villous",0.0853670760569232,,1.39,2317.85
"genetta_tigrina","Carnivora",213.75,7774.5,1760,,"Endotheliochorial","Labyrinthine",0.121448863636364,,2.5,85.5
"geomys_bursarius","Rodentia",17.3229,4380,186.85,,"Hemochorial","Labyrinthine",0.0927101953438587,,3.39,5.11
