species,taxonomic_order,interbirth_interval,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation
tragelaphus_scriptus,Artiodactyla,235.56,5584.5,43250.39,NA,Epitheliochorial,Villous
tragelaphus_oryx,Artiodactyla,338.27,9526.5,291250,NA,Epitheliochorial,Villous
tragelaphus_strepsiceros,Artiodactyla,364.75,8577.5,206056.4,166300,Epitheliochorial,Villous
tragelaphus_angasii,Artiodactyla,295.8,6752.5,100666.7,NA,Epitheliochorial,Villous
tragelaphus_imberbis,Artiodactyla,258.36,7227,82500,NA,Epitheliochorial,Villous
boselaphus_tragocamelus,Artiodactyla,382.49,7920.5,180000,NA,Epitheliochorial,Villous
cervus_nippon,Artiodactyla,362.31,9599.5,52999.99,28640,Epitheliochorial,Villous
cervus_elaphus,Artiodactyla,459.33,11497.5,160166.7,203625,Epitheliochorial,Villous
rucervus_eldii,Artiodactyla,377.09,7482.5,95471.61,NA,Epitheliochorial,Villous
elaphurus_davidianus,Artiodactyla,359.5,10037.5,165989.2,130500,Epitheliochorial,Villous
dama_dama,Artiodactyla,364.75,9125,63612.31,40766.66667,Epitheliochorial,Villous
rucervus_duvaucelii,Artiodactyla,365,8942.5,171223.9,NA,Epitheliochorial,Villous
axis_axis,Artiodactyla,425.62,7592,45500,50000,Epitheliochorial,Villous
muntiacus_muntjak,Artiodactyla,240.84,6862,17611.59,15000,Epitheliochorial,Villous
muntiacus_reevesi,Artiodactyla,214.98,8468,13499.94,8900,Epitheliochorial,Villous
elaphodus_cephalophus,Artiodactyla,357.73,8285.5,33500,NA,Epitheliochorial,Villous
odocoileus_virginianus,Artiodactyla,303.87,8395,65320,52060,Epitheliochorial,Villous
odocoileus_hemionus,Artiodactyla,364.75,8030,57000,NA,Epitheliochorial,Villous
mazama_americana,Artiodactyla,327.31,6241.5,23000,NA,Epitheliochorial,Villous
blastocerus_dichotomus,Artiodactyla,345.59,5000.5,102500,NA,Epitheliochorial,Villous
pudu_puda,Artiodactyla,233.16,7665,9642.62,NA,Epitheliochorial,Villous
rangifer_tarandus,Artiodactyla,364.75,7920.5,101250,86260,Epitheliochorial,Villous
capreolus_capreolus,Artiodactyla,364.75,6387.5,21666.69,20200,Epitheliochorial,Villous
hydropotes_inermis,Artiodactyla,241.89,5079.58,12760.04,12220,Epitheliochorial,Villous
alces_alces,Artiodactyla,364.75,9855,359750,NA,Epitheliochorial,Villous
giraffa_camelopardalis,Artiodactyla,613.75,14417.5,800000,NA,Epitheliochorial,Villous
okapia_johnstoni,Artiodactyla,592.64,12227.5,230001.1,NA,Epitheliochorial,Villous
antilocapra_americana,Artiodactyla,364.75,5657.5,45375,NA,Epitheliochorial,Villous
tragulus_javanicus,Artiodactyla,188.18,5110,1753.97,NA,Epitheliochorial,Villous
tragulus_napu,Artiodactyla,151.94,6095.5,3850,NA,Epitheliochorial,Villous
cephalorhynchus_commersonii,Artiodactyla,702.43,9417,68700,NA,Epitheliochorial,Villous
lissodelphis_borealis,Artiodactyla,730,15330,113000,NA,Epitheliochorial,Villous
orcinus_orca,Cetacea,1459.5,36500,4300000,5443200,Epitheliochorial,Villous
delphinus_delphis,Cetacea,871.94,10594.12,77818.35,NA,Epitheliochorial,Villous
stenella_coeruleoalba,Cetacea,1264.38,20987.5,122950,60500,Epitheliochorial,Villous
tursiops_truncatus,Cetacea,1095,19345,230000,145833,Epitheliochorial,Villous
sotalia_fluviatilis,Cetacea,730,12775,46666.68,NA,Epitheliochorial,Villous
phocoena_phocoena,Cetacea,364.75,7446,52730.93,62000,Epitheliochorial,Villous
delphinapterus_leucas,Cetacea,1003.19,14600,1380000,NA,Epitheliochorial,Villous
inia_geoffrensis,Artiodactyla,644.2,11424.5,98500,NA,Epitheliochorial,Villous
tasmacetus_shepherdi,Cetacea,1070.31,20382.01,5600000,NA,Epitheliochorial,Villous
platanista_gangetica,Artiodactyla,730,10220,85250,NA,Epitheliochorial,Villous
megaptera_novaeangliae,Artiodactyla,693.03,34675,30000000,NA,Epitheliochorial,Villous
hippopotamus_amphibius,Therapsida,629.34,22338,2640000,1349750,Epitheliochorial,Villous
sus_scrofa,Artiodactyla,229.84,9855,135000,50600,Epitheliochorial,Villous
sus_cebifrons,Artiodactyla,328.56,6205,102750,NA,Epitheliochorial,Villous
phacochoerus_aethiopicus,Artiodactyla,364.75,6862,73303.76,NA,Epitheliochorial,Villous
phacochoerus_africanus,Artiodactyla,425.71,7628.5,91249.99,NA,Epitheliochorial,Villous
potamochoerus_porcus,Artiodactyla,364.75,8227.71,71000,NA,Epitheliochorial,Villous
babyrousa_celebensis,Artiodactyla,302.92,8760,92950.09,NA,Epitheliochorial,Villous
babyrousa_babyrussa,Artiodactyla,301,8760,92950.09,NA,Epitheliochorial,Villous
pecari_tajacu,Artiodactyla,154.89,11497.5,20500,17956.25,Epitheliochorial,Villous
catagonus_wagneri,Artiodactyla,325.08,5344.21,35433.2,NA,Epitheliochorial,Villous
lama_guanicoe,Artiodactyla,547.38,22435.33,112500,NA,Epitheliochorial,Villous
vicugna_vicugna,Artiodactyla,547.38,22435.33,50000,37500,Epitheliochorial,Villous
camelus_dromedarius,Artiodactyla,610.29,14600,434000,NA,Epitheliochorial,Villous
epomophorus_wahlbergi,Chiroptera,277.08,3686.5,86.8,NA,Hemochorial,Labyrinthine
rousettus_aegyptiacus,Chiroptera,260.28,8358.5,134,NA,Hemochorial,Labyrinthine
rousettus_leschenaultii,Chiroptera,234.78,5110,96.57,NA,Hemochorial,Labyrinthine
cynopterus_sphinx,Chiroptera,224.84,3686.5,37.4,47.84,Hemochorial,Labyrinthine
pteropus_hypomelanus,Chiroptera,354.15,7409.5,442.81,NA,Hemochorial,Labyrinthine
pteropus_poliocephalus,Chiroptera,360.97,8614,675,675,Hemochorial,Labyrinthine
pteropus_giganteus,Chiroptera,364.75,14907.21,824.85,900,Hemochorial,Labyrinthine
pteropus_rodricensis,Chiroptera,372.33,10950,303.09,NA,Hemochorial,Labyrinthine
acerodon_jubatus,Chiroptera,369.71,7320.34,1087.04,NA,Hemochorial,Labyrinthine
rhinolophus_rouxii,Chiroptera,349.2,1825,12.25,NA,Endotheliochorial,Labyrinthine
rhinopoma_hardwickii,Chiroptera,364.75,4935.28,12,NA,Endotheliochorial,Labyrinthine
myotis_lucifugus,Chiroptera,364.75,12410,7.15,6.49,Hemochorial,Labyrinthine
tadarida_brasiliensis,Chiroptera,364.75,5475,12.5,NA,Endotheliochorial,Labyrinthine
chaerephon_plicatus,Chiroptera,272.18,2467,21.83,17.2,Hemochorial,Labyrinthine
natalus_tumidirostris,Chiroptera,359.45,4590.07,5.85,NA,Endotheliochorial,Labyrinthine
artibeus_lituratus,Chiroptera,219.85,7014.08,46.1,77.64533956,Endotheliochorial,Labyrinthine
artibeus_jamaicensis,Chiroptera,219.85,7014.08,46.1,NA,Endotheliochorial,Labyrinthine
carollia_perspicillata,Chiroptera,158.89,6205,16.4,16.48770687,Endotheliochorial,Labyrinthine
glossophaga_soricina,Chiroptera,243.99,4015,10.25,10.56574924,Endotheliochorial,Labyrinthine
leptonycteris_yerbabuenae,Chiroptera,333.1,3686.5,24.26,NA,Endotheliochorial,Labyrinthine
leptonycteris_nivalis,Chiroptera,330.98,3650,22.63,NA,Endotheliochorial,Labyrinthine
phyllostomus_discolor,Chiroptera,227.52,3285,40.05,37.04081633,Endotheliochorial,Labyrinthine
chrotopterus_auritus,Chiroptera,355.2,5894.62,84.38,94.38153846,Endotheliochorial,Labyrinthine
desmodus_rotundus,Chiroptera,288.78,10658,33.18,43.37795276,Endotheliochorial,Labyrinthine
pteronotus_davyi,Chiroptera,352.19,2682.75,9.4,NA,Hemochorial,Labyrinthine
pteronotus_parnellii,Chiroptera,360.04,5135.41,19.4,NA,Hemochorial,Labyrinthine
mormoops_megalophylla,Chiroptera,352.59,2728.03,16.05,NA,Hemochorial,Labyrinthine
furipterus_horrens,Chiroptera,318.61,5768.69,3.15,4,Hemochorial,Labyrinthine
thyroptera_tricolor,Chiroptera,287.13,5421.74,4.52,NA,Hemochorial,Labyrinthine
myzopoda_aurita,Chiroptera,360.48,5044.91,9.1,NA,Endotheliochorial,Labyrinthine
saccopteryx_bilineata,Chiroptera,349.68,2190,7.9,8,Endotheliochorial,Labyrinthine
taphozous_melanopogon,Chiroptera,329.33,7300,25.99,NA,Endotheliochorial,Labyrinthine
suncus_murinus,Eulipotyphla,55.96,1183.21,45.87,59.73,Hemochorial,Labyrinthine
sorex_fumeus,Eulipotyphla,55.34,517.08,8.02,NA,Hemochorial,Labyrinthine
sorex_araneus,Eulipotyphla,42.25,1168,8.2,7.45,Hemochorial,Labyrinthine
sorex_minutus,Eulipotyphla,97.19,730,4.2,3.01,Hemochorial,Labyrinthine
blarina_brevicauda,Eulipotyphla,57.43,1003.75,20.7,20.23,Hemochorial,Labyrinthine
erinaceus_europaeus,Erinaceomorpha,215.14,5110,777.95,667,Hemochorial,Labyrinthine
atelerix_albiventris,Erinaceomorpha,271.67,4161,600,178.94,Hemochorial,Labyrinthine
