"species","gestation_length","longevity","invasiveness","interdigitation","taxonomic_order"
"elaphurus_davidianus",286.45,10037.5,"Epitheliochorial","Villous","Artiodactyla"
"elephantulus_brachyrhynchus",59.56,1517.79,"Hemochorial","Labyrinthine","Macroscelidea"
"elephantulus_myurus",55.39,1517.79,"Hemochorial","Labyrinthine","Macroscelidea"
"elephantulus_rufescens",58.74,2883.5,"Hemochorial","Labyrinthine","Macroscelidea"
"elephas_maximus",642.84,29200,"Endotheliochorial","Labyrinthine","Proboscidea"
"enhydra_lutris",216.1,10950,"Endotheliochorial","Labyrinthine","Carnivora"
"epomophorus_wahlbergi",156.43,3686.5,"Hemochorial","Labyrinthine","Chiroptera"
"equus_grevyi",405.71,11384.96,"Epitheliochorial","Villous","Perissodactyla"
"equus_hemionus",346,14162,"Epitheliochorial","Villous","Perissodactyla"
"equus_kiang",304.4,14162,"Epitheliochorial","Trabecular","Perissodactyla"
"equus_zebra",363.49,12118,"Epitheliochorial","Villous","Perissodactyla"
"erethizon_dorsatum",210,8541,"Hemochorial","Labyrinthine","Rodentia"
"erinaceus_europaeus",36.07,5110,"Hemochorial","Labyrinthine","Eulipotyphla"
"erythrocebus_patas",167.2,10329.5,"Hemochorial","Trabecular","Primates"
"eudorcas_thomsonii",170.75,7300,"Epitheliochorial","Villous","Artiodactyla"
"eulemur_albifrons",124.68,14235,"Epitheliochorial","Villous","Primates"
"eulemur_collaris",119.42,13505,"Epitheliochorial","Villous","Primates"
"eulemur_coronatus",125.4,10950,"Epitheliochorial","Villous","Primates"
"eulemur_mongoz",128.5,13213,"Epitheliochorial","Villous","Primates"
"eulemur_rubriventer",130,7497.71,"Epitheliochorial","Villous","Primates"
"eulemur_rufus",119.42,13505,"Epitheliochorial","Villous","Primates"
"eulemur_sanfordi",119.42,13505,"Epitheliochorial","Villous","Primates"
"eumetopias_jubatus",308.05,11972,"Endotheliochorial","Labyrinthine","Carnivora"
"euphractus_sexcinctus",64.66,8066.5,"Hemochorial","Trabecular","Cingulata"
"felis_chaus",62.39,7300,"Endotheliochorial","Labyrinthine","Carnivora"
"felis_margarita",66.96,5073.5,"Endotheliochorial","Labyrinthine","Carnivora"
"felis_nigripes",66.96,5694,"Endotheliochorial","Labyrinthine","Carnivora"
"felis_silvestris",64.72,10220,"Endotheliochorial","Labyrinthine","Carnivora"
"fukomys_damarensis",92.83,5657.5,"Hemochorial","Villous","Rodentia"
"funambulus_pennantii",40.48,1852.38,"Hemochorial","Labyrinthine","Rodentia"
"furipterus_horrens",133.61,5768.69,"Hemochorial","Labyrinthine","Chiroptera"
"galago_moholi",126,6874.17,"Epitheliochorial","Villous","Primates"
"galago_senegalensis",126.49,6874.17,"Epitheliochorial","Villous","Primates"
"galea_musteloides",54,1277.5,"Hemochorial","Labyrinthine","Rodentia"
"gazella_cuvieri",170.87,6533.5,"Epitheliochorial","Villous","Artiodactyla"
"gazella_dorcas",156,8650.5,"Epitheliochorial","Villous","Artiodactyla"
"gazella_leptoceros",167.29,5329,"Epitheliochorial","Villous","Artiodactyla"
"gazella_marica",169.22,7300,"Epitheliochorial","Villous","Artiodactyla"
"gazella_spekei",187.91,5405.04,"Epitheliochorial","Villous","Artiodactyla"
"gazella_subgutturosa",169.22,7300,"Epitheliochorial","Villous","Artiodactyla"
"genetta_tigrina",70.61,7774.5,"Endotheliochorial","Labyrinthine","Carnivora"
"geomys_bursarius",26.78,4380,"Hemochorial","Labyrinthine","Rodentia"
"giraffa_camelopardalis",456.13,14417.5,"Epitheliochorial","Villous","Artiodactyla"
"glaucomys_sabrinus",40,5183,"Hemochorial","Labyrinthine","Rodentia"
"glaucomys_volans",40,6935,"Hemochorial","Labyrinthine","Rodentia"
"glossophaga_soricina",107.26,4015,"Endotheliochorial","Labyrinthine","Chiroptera"
"gorilla_gorilla",257,20221,"Hemochorial","Villous","Primates"
"gulo_gulo",51.44,7117.5,"Endotheliochorial","Labyrinthine","Carnivora"
"halichoerus_grypus",291.23,17035.46,"Endotheliochorial","Labyrinthine","Carnivora"
"hapalemur_griseus",141.24,8504.5,"Epitheliochorial","Villous","Primates"
"helarctos_malayanus",98.34,13103.5,"Endotheliochorial","Labyrinthine","Carnivora"
"helogale_hirtula",57.18,3522.25,"Endotheliochorial","Labyrinthine","Carnivora"
"hemicentetes_semispinosus",53.78,1000.71,"Hemochorial","Labyrinthine","Afrosoricida"
"hemigalus_derbyanus",69.99,6570,"Endotheliochorial","Labyrinthine","Carnivora"
"hemitragus_jemlahicus",183,7957,"Epitheliochorial","Villous","Artiodactyla"
"heterocephalus_glaber",70,10329.5,"Hemochorial","Labyrinthine","Rodentia"
"heterohyrax_brucei",228.21,5110,"Hemochorial","Labyrinthine","Hyracoidea"
"hippopotamus_amphibius",234.69,22338,"Epitheliochorial","Villous","Artiodactyla"
"hippotragus_equinus",283.83,9453.5,"Epitheliochorial","Villous","Artiodactyla"
"hippotragus_niger",271,8121.25,"Epitheliochorial","Villous","Artiodactyla"
"hyaena_hyaena",90.5,9125,"Endotheliochorial","Labyrinthine","Carnivora"
"hydrictis_maculicollis",60.88,8358.5,"Endotheliochorial","Labyrinthine","Carnivora"
"hydrochoerus_hydrochaeris",150.73,5511.5,"Hemochorial","Labyrinthine","Rodentia"
"hydropotes_inermis",190,5079.58,"Epitheliochorial","Villous","Artiodactyla"
"hydrurga_leptonyx",289.14,9490,"Endotheliochorial","Labyrinthine","Carnivora"
"hylobates_agilis",216.24,20805,"Hemochorial","Villous","Primates"
"hylobates_lar",216.24,20805,"Hemochorial","Villous","Primates"
"hylobates_pileatus",216.24,20805,"Hemochorial","Villous","Primates"
"hystrix_africaeaustralis",93.49,8431.5,"Hemochorial","Labyrinthine","Rodentia"
"hystrix_cristata",71.05,10411.63,"Hemochorial","Labyrinthine","Rodentia"
"ictidomys_tridecemlineatus",27.75,2883.5,"Hemochorial","Labyrinthine","Rodentia"
"indri_indri",142.06,9231.94,"Epitheliochorial","Villous","Primates"
"inia_geoffrensis",299.19,11424.5,"Epitheliochorial","Villous","Artiodactyla"
"jaculus_jaculus",38,2664.5,"Hemochorial","Labyrinthine","Rodentia"
"kerodon_rupestris",75.89,4708.5,"Hemochorial","Labyrinthine","Rodentia"
"kobus_ellipsiprymnus",270,11080.79,"Epitheliochorial","Villous","Artiodactyla"
"kobus_leche",229.4,9271,"Epitheliochorial","Villous","Artiodactyla"
"kobus_megaceros",235,7701.5,"Epitheliochorial","Villous","Artiodactyla"
"lagostomus_maximus",155.73,3942,"Hemochorial","Labyrinthine","Rodentia"
"lama_guanicoe",337.55,22435.33,"Epitheliochorial","Villous","Artiodactyla"
"lemmus_lemmus",20.11,1213.63,"Hemochorial","Labyrinthine","Rodentia"
"lemur_catta",134.84,13614.5,"Epitheliochorial","Villous","Artiodactyla"
