"species","neonate_body_size","body_mass_g","longevity","invasiveness","interdigitation","neonate_over_adult","taxonomic_order"
"tragelaphus_spekii",4000,87500,8249,"Epitheliochorial","Villous",0.0457142857142857,"Artiodactyla"
"tragelaphus_strepsiceros",15366.57,206056.4,8577.5,"Epitheliochorial","Villous",0.0745745824929485,"Artiodactyla"
"tragulus_napu",372.99,3850,6095.5,"Epitheliochorial","Villous",0.0968805194805195,"Artiodactyla"
"tremarctos_ornatus",320,109250,14329.29,"Endotheliochorial","Labyrinthine",0.00292906178489703,"Carnivora"
"trichechus_manatus",29636.99,387500,20440,"Endotheliochorial","Labyrinthine",0.0764825548387097,"Sirenia"
"tupaia_glis",12.6,159,4532.08,"Endotheliochorial","Labyrinthine",0.0792452830188679,"Scandentia"
"tupaia_montana",11,225.53,577.92,"Endotheliochorial","Labyrinthine",0.04877399902452,"Scandentia"
"tursiops_truncatus",24369.6,230000,19345,"Epitheliochorial","Villous",0.105954782608696,"Artiodactyla"
"urocyon_cinereoargenteus",103.68,4220,5913,"Endotheliochorial","Labyrinthine",0.0245687203791469,"Carnivora"
"ursus_americanus",293.99,132405,12410,"Endotheliochorial","Labyrinthine",0.00222038442656999,"Carnivora"
"ursus_arctos",499.99,240500,18250,"Endotheliochorial","Labyrinthine",0.0020789604989605,"Carnivora"
"ursus_maritimus",670.48,371703.8,16425,"Endotheliochorial","Labyrinthine",0.00180380184437178,"Carnivora"
"ursus_thibetanus",357.5,99714.19,14308,"Endotheliochorial","Labyrinthine",0.00358524699443479,"Carnivora"
"vicugna_vicugna",6082.92,50000,22435.33,"Epitheliochorial","Villous",0.1216584,"Artiodactyla"
"vulpes_lagopus",69.17,3600,5949.5,"Endotheliochorial","Labyrinthine",0.0192138888888889,"Carnivora"
"vulpes_velox",39.94,2088,7300,"Endotheliochorial","Labyrinthine",0.0191283524904215,"Carnivora"
"vulpes_vulpes",100.49,4580.3,7774.5,"Endotheliochorial","Labyrinthine",0.0219396109425147,"Carnivora"
"vulpes_zerda",28.04,1207.5,5949.5,"Endotheliochorial","Labyrinthine",0.0232215320910973,"Carnivora"
"xerus_inauris",20,557.3,4745,"Hemochorial","Labyrinthine",0.0358873138345595,"Rodentia"
"zalophus_californianus",6347.89,158597.4,13030.5,"Endotheliochorial","Labyrinthine",0.0400251832627773,"Carnivora"
