"species","interbirth_interval","longevity","invasiveness","interdigitation","taxonomic_order"
"miopithecus_talapoin",730,11278.5,"Hemochorial","Trabecular","Primates"
"mirounga_angustirostris",364.75,7406.46,"Endotheliochorial","Labyrinthine","Carnivora"
"mirza_coquereli",364.75,6351,"Epitheliochorial","Villous","Primates"
"mormoops_megalophylla",352.59,2728.03,"Hemochorial","Labyrinthine","Chiroptera"
"mungos_mungo",364.75,6351,"Endotheliochorial","Labyrinthine","Carnivora"
"muntiacus_muntjak",240.84,6862,"Epitheliochorial","Villous","Artiodactyla"
"muntiacus_reevesi",214.98,8468,"Epitheliochorial","Villous","Artiodactyla"
"mus_musculus",29.98,2190,"Hemochorial","Labyrinthine","Rodentia"
"mustela_putorius",196.12,5110,"Endotheliochorial","Labyrinthine","Carnivora"
"myocastor_coypus",130.66,4380,"Endotheliochorial","Labyrinthine","Carnivora"
"myodes_glareolus",21.36,1794.58,"Hemochorial","Labyrinthine","Rodentia"
"myodes_rutilus",20.49,1085.32,"Hemochorial","Labyrinthine","Rodentia"
"myoprocta_pratti",126.6,5402,"Hemochorial","Villous","Rodentia"
"myotis_lucifugus",364.75,12410,"Hemochorial","Labyrinthine","Chiroptera"
"myrmecophaga_tridactyla",476.09,11506.63,"Hemochorial","Trabecular","Pilosa"
"myzopoda_aurita",360.48,5044.91,"Endotheliochorial","Labyrinthine","Chiroptera"
"naemorhedus_goral",364.75,6916.75,"Epitheliochorial","Villous","Artiodactyla"
"nandinia_binotata",182.13,7741.04,"Endotheliochorial","Labyrinthine","Carnivora"
"nanger_dama",182.38,7044.5,"Epitheliochorial","Villous","Artiodactyla"
"nanger_granti",230.05,7190.5,"Epitheliochorial","Villous","Artiodactyla"
"nasalis_larvatus",543.38,9161.5,"Hemochorial","Trabecular","Primates"
"nasua_narica",364.75,9636,"Endotheliochorial","Labyrinthine","Carnivora"
"nasua_nasua",364.75,8650.5,"Endotheliochorial","Labyrinthine","Carnivora"
