"species","litter_size","longevity","invasiveness","interdigitation","taxonomic_order"
"inia_geoffrensis",1,11424.5,"Epitheliochorial","Villous","Artiodactyla"
"jaculus_jaculus",3.24,2664.5,"Hemochorial","Labyrinthine","Rodentia"
"kerodon_rupestris",1.52,4708.5,"Hemochorial","Labyrinthine","Rodentia"
"kobus_ellipsiprymnus",1.05,11080.79,"Epitheliochorial","Villous","Artiodactyla"
"kobus_leche",1,9271,"Epitheliochorial","Villous","Artiodactyla"
"kobus_megaceros",1,7701.5,"Epitheliochorial","Villous","Artiodactyla"
"lagostomus_maximus",2,3942,"Hemochorial","Labyrinthine","Rodentia"
"lama_guanicoe",1,22435.33,"Epitheliochorial","Villous","Artiodactyla"
"lemmus_lemmus",5.12,1213.63,"Hemochorial","Labyrinthine","Rodentia"
"lemur_catta",1.11,13614.5,"Epitheliochorial","Villous","Artiodactyla"
"leontopithecus_chrysomelas",1.95,11534,"Hemochorial","Trabecular","Primates"
"leontopithecus_rosalia",1.95,11534,"Hemochorial","Trabecular","Primates"
"leopardus_geoffroyi",2.02,8471.04,"Endotheliochorial","Labyrinthine","Carnivora"
"leopardus_pardalis",1.66,10293,"Endotheliochorial","Labyrinthine","Carnivora"
"leopardus_wiedii",1.5,8775.21,"Endotheliochorial","Labyrinthine","Carnivora"
"leptailurus_serval",2.35,8395,"Endotheliochorial","Labyrinthine","Carnivora"
"leptonychotes_weddellii",1,9125,"Endotheliochorial","Labyrinthine","Carnivora"
"leptonycteris_nivalis",1,3650,"Endotheliochorial","Labyrinthine","Chiroptera"
"leptonycteris_yerbabuenae",1,3686.5,"Endotheliochorial","Labyrinthine","Chiroptera"
"lepus_americanus",3.41,2920,"Hemochorial","Labyrinthine","Lagomorpha"
"limnogale_mergulus",2.87,2210.79,"Hemochorial","Labyrinthine","Afrosoricida"
"lissodelphis_borealis",1,15330,"Epitheliochorial","Villous","Artiodactyla"
"litocranius_walleri",1,6314.5,"Epitheliochorial","Villous","Artiodactyla"
"lobodon_carcinophaga",1,14235,"Endotheliochorial","Labyrinthine","Carnivora"
"lontra_canadensis",2.67,9855,"Endotheliochorial","Labyrinthine","Carnivora"
"lophocebus_aterrimus",1,13389.42,"Hemochorial","Villous","Primates"
"loris_tardigradus",1.37,7044.5,"Epitheliochorial","Villous","Primates"
"loxodonta_africana",1,29200,"Endotheliochorial","Labyrinthine","Proboscidea"
"lycaon_pictus",7.5,6205,"Endotheliochorial","Labyrinthine","Carnivora"
"lynx_canadensis",3.19,9782,"Endotheliochorial","Labyrinthine","Carnivora"
"lynx_lynx",2.25,9782,"Endotheliochorial","Labyrinthine","Carnivora"
"lynx_rufus",2.53,11801.67,"Endotheliochorial","Labyrinthine","Carnivora"
"macaca_fascicularis",1,14235,"Hemochorial","Trabecular","Primates"
"macaca_fuscata",1.42,14052.5,"Hemochorial","Trabecular","Primates"
"macaca_mulatta",1,14600,"Hemochorial","Trabecular","Primates"
"macaca_nigra",1,12410,"Hemochorial","Trabecular","Primates"
"macaca_radiata",1,10959.13,"Hemochorial","Trabecular","Primates"
"macaca_silenus",1,14663.88,"Hemochorial","Trabecular","Primates"
"macroscelides_proboscideus",1.6,3175.5,"Hemochorial","Labyrinthine","Macroscelidea"
"madoqua_guentheri",1,6387.5,"Epitheliochorial","Villous","Artiodactyla"
"madoqua_kirkii",1,6314.5,"Epitheliochorial","Villous","Artiodactyla"
"mandrillus_sphinx",1.05,16910.45,"Hemochorial","Trabecular","Primates"
"marmota_flaviventris",4.44,7738,"Hemochorial","Labyrinthine","Rodentia"
"marmota_monax",4.5,5110,"Hemochorial","Labyrinthine","Rodentia"
"martes_americana",2.73,6935,"Endotheliochorial","Labyrinthine","Carnivora"
"martes_zibellina",3.13,8030,"Endotheliochorial","Labyrinthine","Carnivora"
"mastomys_natalensis",8.6,1061.54,"Hemochorial","Labyrinthine","Rodentia"
"mazama_americana",1.22,6241.5,"Epitheliochorial","Villous","Artiodactyla"
"megaptera_novaeangliae",1,34675,"Epitheliochorial","Villous","Artiodactyla"
"melursus_ursinus",1.54,14600,"Hemochorial","Labyrinthine","Carnivora"
"meriones_shawi",5.63,1700.29,"Hemochorial","Labyrinthine","Rodentia"
"meriones_unguiculatus",5,2299.5,"Hemochorial","Labyrinthine","Rodentia"
"mesocricetus_auratus",8.69,3650,"Hemochorial","Labyrinthine","Rodentia"
"microcebus_murinus",2.41,6643,"Epitheliochorial","Villous","Primates"
"microdipodops_megacephalus",3.9,1977.08,"Endotheliochorial","Labyrinthine","Rodentia"
"microtus_xanthognathus",8.18,1000.25,"Hemochorial","Labyrinthine","Rodentia"
"miopithecus_talapoin",1,11278.5,"Hemochorial","Trabecular","Primates"
"mirounga_angustirostris",1,7406.46,"Endotheliochorial","Labyrinthine","Carnivora"
"mirza_coquereli",1.71,6351,"Epitheliochorial","Villous","Primates"
"mormoops_megalophylla",1,2728.03,"Hemochorial","Labyrinthine","Chiroptera"
"mungos_mungo",2.68,6351,"Endotheliochorial","Labyrinthine","Carnivora"
"muntiacus_muntjak",1.17,6862,"Epitheliochorial","Villous","Artiodactyla"
"muntiacus_reevesi",1,8468,"Epitheliochorial","Villous","Artiodactyla"
"mus_musculus",6.07,2190,"Hemochorial","Labyrinthine","Rodentia"
"mustela_putorius",7.68,5110,"Endotheliochorial","Labyrinthine","Carnivora"
"myocastor_coypus",5.34,4380,"Endotheliochorial","Labyrinthine","Carnivora"
"myodes_glareolus",4.3,1794.58,"Hemochorial","Labyrinthine","Rodentia"
"myodes_rutilus",6.3,1085.32,"Hemochorial","Labyrinthine","Rodentia"
"myoprocta_pratti",1.87,5402,"Hemochorial","Villous","Rodentia"
"myotis_lucifugus",1,12410,"Hemochorial","Labyrinthine","Chiroptera"
"myrmecophaga_tridactyla",1,11506.63,"Hemochorial","Trabecular","Pilosa"
"myzopoda_aurita",1.03,5044.91,"Endotheliochorial","Labyrinthine","Chiroptera"
"naemorhedus_goral",1,6916.75,"Epitheliochorial","Villous","Artiodactyla"
"nandinia_binotata",2,7741.04,"Endotheliochorial","Labyrinthine","Carnivora"
"nanger_dama",1,7044.5,"Epitheliochorial","Villous","Artiodactyla"
"nanger_granti",1,7190.5,"Epitheliochorial","Villous","Artiodactyla"
"nasalis_larvatus",1.01,9161.5,"Hemochorial","Trabecular","Primates"
"nasua_narica",4.17,9636,"Endotheliochorial","Labyrinthine","Carnivora"
"nasua_nasua",3.81,8650.5,"Endotheliochorial","Labyrinthine","Carnivora"
"natalus_tumidirostris",1.02,4590.07,"Endotheliochorial","Labyrinthine","Chiroptera"
